"DO NOT EDIT",,,,,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)",,,,
,"Personal Pronouns","บุรุษสรรพนาม",,,
,"Personifications","บุคลาธิษฐาน",,,
,"Place Values","ค่าประจำหลัก",,,
,"Place Values And Number Sense","ค่าประจำหลักและความรู้สึกเชิงจำนวน",,,
,"Plural Nouns","พหุนาม(Plural Nouns)",,,
,"Possessive Nouns","นามแสดงความเป็นเจ้าของ(Possessive Nouns)",,,
,"Possessive Pronouns","สรรพนาทแสดงความเป็นเจ้าของ(Possessive Pronouns)",,,
,"Prefixes","คำนำหน้า(Prefixes)",,,
,"Prefixes And Suffixes","คำนำหน้าและคำต่อท้าย(Prefixes And Suffixes)",,,
,"Prepositions","คำบุพบท(Prepositions)",,,
,"Probability","ความน่าจะเป็น",,,
,"Probability And Statistics","ความน่าจะเป็นและสถิติ",,,
,"Problem Solving","การแก้ปัญหา",,,
,"Problem Solving And Estimation","การแก้ปัญหาและวิเคราะห์โจทย์",,,
,"Progressive Verb Tenses","ปัจจุบันกาลต่อเนื่อง(Present continuous tense)",,,
,"Pronouns","คำสรรพนาม(Pronouns)",,,
,"Pronouns And Antecedents","สรรพนามและพงศาวดาร",,,
,"Properties","คุณสมบัติ",,,
,"Punctuation","เครื่องหมายวรรคตอน(Punctuation)",,,
,"Quotations And Dialogue","การกล่าวอ้างและบทสนทนา(Quotations And Dialogue)",,,
,"Rational Numbers","จำนวนจริง",,,
,"Ratios , Portions And Percents","อัตราส่วน, สัดส่วน, ร้อยละ",,,
,"Reflexive And Intensive Pronouns","สรรพนามที่ใช้เมื่อประธานและกรรมเป็นสิ่งเดียวกัน(Reflexive And Intensive Pronouns)",,,
,"Reflexive Pronouns","สรรพนามสะท้อนประธาน(Reflexive Pronouns)",,,
,"Regular Past Tense","อดีตกาลปกติ(Past simple tense)",,,
,"Regular Plural Nouns","นามพหุพจน์ปกติ",,,
,"Relative Pronouns","ประพันธสรรพนาม(Relative Pronouns)",,,
,"Relative Pronouns And Relative Adverbs","ประพันธสรรพนามและกริยาวิเศษณ์(Relative Pronouns And Relative Adverbs)",,,
,"Restrictive And Nonrestrictive Elements","กลุ่มคำแบบเจาะจงและไม่เจาะจง(Restrictive And Nonrestrictive Elements)",,,
,"Rounding","การปัดเศษ",,,
,"Sentence Types","ประเภทของประโยค",,,
,"Sentences, Fragments, And Run-Ons","ประโยค, ชิ้นส่วนคำ, บาทไม่ครบส่วน",,,
,"Shading Of Meaning","ความกลมกลืนของความหมาย",,,
,"Similes","อุปมาอุปไมย",,,
,"Similes And Metaphors","อุปมาและอุปลักษณ์",,,
,"Simple Complete Sentences","ประโยคความเดียวสมบูรณ์(Simple Complete Sentences)",,,
,"Simple Predicates","ภาคแสดงความเดียว",,,
,"Simple Verb Tense Review","ทบทวน Simple Verb Tense",,,
,"Simple, Compound, And Complex Sentences","ประโยคความเดียว, ความรวม, ความซ้อน(Simple, Compound, And Complex Sentences)",,,
,"Single Nouns","คำนามเอกพจน์(Single Nouns)",,,
,"Spatial Sense","ความรู้สึกเชิงปริภูมิ",,,
,"Statistics","สถิติ",,,
,"Subject And Object Pronouns","สรรพนามที่ใช้แทนประธานและกรรม(Subject And Object Pronouns)",,,
,"Subject And Predicate","การใช้รูปกริยาให้สอดคล้องกับประธาน",,,
,"Subject Pronouns","สรรพนามที่ใช้กับประธาน(Subject Pronouns)",,,
,"Subject-Verb Agreement","การเปลี่ยนรูปกริยาให้สอดคล้องกับประธาน(Subject-Verb Agreement)",,,
,"Subordinating Conjunctions","อนุสันธาน(Subordinating Conjunctions)",,,
,"Subtraction","การลบเลข",,,
,"Subtraction One Digit","การลบเลขหนึ่งหลัก",,,
,"Subtraction Three Digit","การลบเลขสามหลัก",,,
,"Subtraction Two Digit","การลบเลขสองหลัก",,,
,"Suffixes","คำเสริมท้าย",,,
,"Synonyms","คำพ้อง",,,
,"Thesarus Skills","ทักษะการใช้พจนานุกรม",,,
,"Time","เวลา",,,
,"Titles","หัวข้อ",,,
,"To Be And To Have","To be และ To Have",,,
,"Use of commas","การใช้คอมม่า",,,
,"Vague Pronoun References","การกล่าวสรรพนามแบบคลุมเครือ",,,
,"Verb Phrases","คำกริยาวลี",,,
,"Verb-Actions Or To Be","คำกริยาบอกการกระทำ หรือ To Be",,,
,"Verbs","คำกริยา",,,
,"Verbs Infinitive","คำกริยารูปปกติ",,,
,"Vocab Grade 1 A-C","คำศัพท์ระดับ 1 A-C",,,
,"Vocab Grade 1 D-H","คำศัพท์ระดับ 1 D-H",,,
,"Vocab Grade 1 I-L","คำศัพท์ระดับ 1 I-L",,,
,"Vocab Grade 1 M-P","คำศัพท์ระดับ 1 M-P",,,
,"Vocab Grade 1 Q-T","คำศัพท์ระดับ 1 Q-T",,,
,"Vocab Grade 1 U-Z","คำศัพท์ระดับ 1 U-Z",,,
,"Vocab Grade 2 A-C","คำศัพท์ระดับ 2 A-C",,,
,"Vocab Grade 2 D-H","คำศัพท์ระดับ 2 D-H",,,
,"Vocab Grade 2 I-L","คำศัพท์ระดับ 2 I-L",,,
,"Vocab Grade 2 M-P","คำศัพท์ระดับ 2 M-P",,,
,"Vocab Grade 2 Q-T","คำศัพท์ระดับ 2 Q-T",,,
,"Vocab Grade 2 U-Z","คำศัพท์ระดับ 2 U-Z",,,
,"Vocab Grade 3 A-C","คำศัพท์ระดับ 3 A-C",,,
,"Vocab Grade 3 D-H","คำศัพท์ระดับ 3 D-H",,,
,"Vocab Grade 3 I-L","คำศัพท์ระดับ 3 I-L",,,
,"Vocab Grade 3 M-P","คำศัพท์ระดับ 3 M-P",,,
,"Vocab Grade 3 Q-T","คำศัพท์ระดับ 3 Q-T",,,
,"Vocab Grade 3 U-Z","คำศัพท์ระดับ 3 U-Z",,,
,"Vocab Grade 4 A-C","คำศัพท์ระดับ 4 A-C",,,
,"Vocab Grade 4 D-H","คำศัพท์ระดับ 4 D-H",,,
,"Vocab Grade 4 I-L","คำศัพท์ระดับ 4 I-L",,,
,"Vocab Grade 4 M-P","คำศัพท์ระดับ 4 M-P",,,
,"Vocab Grade 4 Q-T","คำศัพท์ระดับ 4 Q-T",,,
,"Vocab Grade 4 U-Z","คำศัพท์ระดับ 4 U-Z",,,
,"Vocab Grade 5 A-C","คำศัพท์ระดับ 5 A-C",,,
,"Vocab Grade 5 D-H","คำศัพท์ระดับ 5 D-H",,,
,"Vocab Grade 5 I-L","คำศัพท์ระดับ 5 I-L",,,
,"Vocab Grade 5 M-P","คำศัพท์ระดับ 5 M-P",,,
,"Vocab Grade 5 Q-T","คำศัพท์ระดับ 5 Q-T",,,
,"Vocab Grade 5 U-Z","คำศัพท์ระดับ 5 U-Z",,,
,"Vocab Grade 6 A-C","คำศัพท์ระดับ 6 A-C",,,
,"Vocab Grade 6 D-H","คำศัพท์ระดับ 6 D-H",,,
,"Vocab Grade 6 I-L","คำศัพท์ระดับ 6 I-L",,,
,"Vocab Grade 6 M-P","คำศัพท์ระดับ 6 M-P",,,
,"Vocab Grade 6 Q-T","คำศัพท์ระดับ 6 Q-T",,,
,"Vocab Grade 6 U-Z","คำศัพท์ระดับ 6 U-Z",,,
,"Which, That ,Who Clause","อนุประโยคที่ใช้ Which, That, Who",,,
,"Whole Numbers","ตัวเลขทั้งหมด",,,
,"Word Order","ลำดับคำ",,,
